# Program:featureCounts v1.4.6-p3; Command:"./subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379721" "SRR10379722" "SRR10379723" "SRR10379724" "SRR10379725" "SRR10379726" 
Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00472	16367	16622	13732	14513	16533	3748
gene-SAOUHSC_00473	3341	2618	3034	1921	3036	141
gene-SAOUHSC_00474	211275	174772	222905	34172	30284	14216
gene-SAOUHSC_00475	795	581	497	2103	2530	406
gene-SAOUHSC_00477	8046	6122	5688	8410	11439	2269
gene-SAOUHSC_00479	3910	2983	2678	3679	4656	450
gene-SAOUHSC_00480	6466	5084	4822	6116	8991	1821
gene-SAOUHSC_00481	1908	1562	1602	1938	3544	488
gene-SAOUHSC_00482	3831	2384	2871	3307	4952	639
gene-SAOUHSC_00483	11314	8540	7419	17368	17990	2678
gene-SAOUHSC_00484	1188	933	808	1765	2391	518
gene-SAOUHSC_00485	1420	1311	1048	2270	2889	468
gene-SAOUHSC_00486	43694	37666	27162	59731	72165	17633
gene-SAOUHSC_00487	5724	4924	3917	6354	6860	2008
gene-SAOUHSC_00488	20861	15932	16485	17693	27869	10934
gene-SAOUHSC_00489	772	598	642	730	940	193
gene-SAOUHSC_00490	827	616	794	535	659	62
gene-SAOUHSC_00491	4687	4236	4858	2925	3297	489
gene-SAOUHSC_00492	1235	804	1590	1083	2096	84
gene-SAOUHSC_00493	36928	31444	38632	25604	34562	7653
gene-SAOUHSC_R00016	179	107	68	58	23	52
gene-SAOUHSC_T00059	104	99	57	27	18	22
gene-SAOUHSC_T00053	1674	1677	1117	904	275	465
gene-SAOUHSC_T00035	654	617	443	632	280	415
gene-SAOUHSC_T00021	417	336	308	267	120	232
gene-SAOUHSC_T00030	416	265	232	344	60	64
gene-SAOUHSC_T0004	2351	1897	1751	1171	1005	769
gene-SAOUHSC_T00044	293	213	191	387	298	226
gene-SAOUHSC_T0001	756	426	268	392	494	346
gene-SAOUHSC_R0002	2617	1512	350	3983	2999	6884
gene-SAOUHSC_R0007	14081	15867	4339	11844	8906	18275
gene-SAOUHSC_R00012	73	54	31	73	9	63
gene-SAOUHSC_00497	1283	799	839	550	563	33
gene-SAOUHSC_00499	1646	1321	1127	2422	2407	1078
gene-SAOUHSC_00500	1393	1048	950	2040	2335	280
gene-SAOUHSC_00501	3576	2959	2392	12456	14185	1080
gene-SAOUHSC_00502	9085	9142	4665	6651	2357	101
gene-SAOUHSC_00503	10778	10839	5930	6019	3002	272
gene-SAOUHSC_00504	24744	25383	14313	13560	5880	233
gene-SAOUHSC_00505	72774	66534	37852	43698	23718	3424
gene-SAOUHSC_00506	19	29	10	23	3	0
gene-SAOUHSC_00507	4522	4034	2750	13373	20483	6628
gene-SAOUHSC_00508	3105	2516	2012	7383	12524	1489
gene-SAOUHSC_00509	8243	7022	5422	16387	25075	3689
gene-SAOUHSC_00510	804	750	471	2276	4656	1601
gene-SAOUHSC_00511	1891	1813	1152	6999	11650	2562
gene-SAOUHSC_00512	667	605	416	2495	5285	613
gene-SAOUHSC_00513	1182	1067	702	3847	5880	2133
gene-SAOUHSC_00514	1342	1194	793	4012	6732	899
gene-SAOUHSC_00515	729	636	487	2434	3511	249
gene-SAOUHSC_00516	2319	1876	1836	3573	5694	628
gene-SAOUHSC_00517	5492	4731	3786	6836	8159	2406
gene-SAOUHSC_00518	75101	64409	57345	44870	41873	13483
gene-SAOUHSC_00519	63616	71394	48226	53499	43923	10457
gene-SAOUHSC_00520	73365	71367	57976	59762	95149	8592
gene-SAOUHSC_00521	43899	36186	34785	37432	41858	11702
gene-SAOUHSC_00523	8304	8992	6442	5600	6108	2169
gene-SAOUHSC_00524	244431	214905	165761	117124	119222	56465
gene-SAOUHSC_00525	315412	256066	194008	157354	148378	69168
gene-SAOUHSC_00526	20537	19638	13584	12117	7120	1277
gene-SAOUHSC_00527	108211	113244	88460	58444	72084	30044
gene-SAOUHSC_00528	106963	105809	85930	60815	62424	26171
gene-SAOUHSC_00529	530828	517347	402023	332543	301147	194557
gene-SAOUHSC_00530	393577	364039	283449	339826	281155	187750
gene-SAOUHSC_00531	2406	1996	1686	4011	5546	1518
gene-SAOUHSC_00532	6459	5826	4450	16283	24253	3647
gene-SAOUHSC_00533	8319	6547	3506	21187	67083	8455
gene-SAOUHSC_00534	1065	774	661	1356	2143	311
gene-SAOUHSC_00535	25160	21378	18479	5145	5444	845
gene-SAOUHSC_00536	4199	3937	2735	19467	24002	5107
gene-SAOUHSC_00537	311	276	264	1663	2724	169
gene-SAOUHSC_00538	453	353	322	1867	2841	460
gene-SAOUHSC_00539	1090	778	749	1162	1570	168
gene-SAOUHSC_00540	134	87	125	521	503	33
gene-SAOUHSC_00541	376	271	255	1328	1268	382
gene-SAOUHSC_00542	979	538	688	1626	2159	208
gene-SAOUHSC_00543	1480	805	1154	1314	1619	157
gene-SAOUHSC_A00526	0	0	0	0	0	0
gene-SAOUHSC_00544	32042	19531	37993	3593	4236	2845
gene-SAOUHSC_00545	16195	12511	16394	7695	6278	2999
gene-SAOUHSC_00547	1381	1009	1023	2883	3393	225
gene-SAOUHSC_00548	5532	4059	4673	4123	4668	345
gene-SAOUHSC_00549	11374	9203	7222	7238	7191	1055
gene-SAOUHSC_00550	6448	4953	3871	5238	5851	1318
gene-SAOUHSC_00551	3514	2765	2265	4181	5089	614
gene-SAOUHSC_00552	2283	1991	1589	1828	2011	152
gene-SAOUHSC_00553	3875	3795	2687	9257	14747	3344
gene-SAOUHSC_00554	4678	4577	3179	10664	16229	8544
gene-SAOUHSC_00555	2298	1817	1781	886	581	231
gene-SAOUHSC_00556	31973	25116	29166	7041	6470	1084
gene-SAOUHSC_00557	3695	2478	3517	350	222	25
gene-SAOUHSC_00558	5154	3961	5039	1147	1128	386
gene-SAOUHSC_00559	1507	923	1440	355	467	34
gene-SAOUHSC_00560	5297	2531	2799	881	570	64
gene-SAOUHSC_00561	233436	188110	176341	48631	19815	904
gene-SAOUHSC_00562	3105	2615	2691	6200	8903	2229
gene-SAOUHSC_00564	852	749	636	1020	1251	245
gene-SAOUHSC_00565	749	655	608	810	1264	224
gene-SAOUHSC_00567	750	561	534	558	881	210
gene-SAOUHSC_00569	24044	31556	17614	74094	101124	26928
gene-SAOUHSC_00571	1007	906	728	1692	2717	514
gene-SAOUHSC_00572	1511	1408	1123	2617	3861	797
gene-SAOUHSC_00573	3102	2428	1419	5527	6099	520
gene-SAOUHSC_00574	23990	20807	19920	21169	16762	4612
gene-SAOUHSC_00575	23439	17411	19477	16270	12460	1830
gene-SAOUHSC_00577	5019	4596	4139	1947	2317	505
gene-SAOUHSC_00578	8495	8906	6968	5502	5609	4283
gene-SAOUHSC_00579	10240	10187	8458	8152	7419	4190
gene-SAOUHSC_00580	5666	4320	4845	1138	1483	142
gene-SAOUHSC_00581	10524	6340	5452	1730	2464	368
gene-SAOUHSC_00582	2200	1360	1131	301	520	32
gene-SAOUHSC_00583	25	18	33	7	3	0
gene-SAOUHSC_00584	1149	1006	923	988	1760	215
gene-SAOUHSC_00585	57	27	46	70	130	35
gene-SAOUHSC_00586	229	164	178	194	243	55
gene-SAOUHSC_00587	352	227	234	269	336	57
gene-SAOUHSC_00588	276	189	255	279	359	53
gene-SAOUHSC_00589	152	103	147	121	193	9
gene-SAOUHSC_00591	190	138	157	202	276	26
gene-SAOUHSC_00592	308	205	249	241	387	40
gene-SAOUHSC_00593	158	81	116	142	168	16
gene-SAOUHSC_00595	16	2	27	36	66	3
gene-SAOUHSC_00596	116	80	98	84	70	13
gene-SAOUHSC_00598	162	104	115	100	123	9
gene-SAOUHSC_00599	114	65	121	142	185	14
gene-SAOUHSC_00600	193	129	112	118	182	17
gene-SAOUHSC_00602	191	108	120	149	216	66
gene-SAOUHSC_00603	1534	1235	1024	1877	2708	568
gene-SAOUHSC_00604	4487	4931	2316	9940	13645	1377
gene-SAOUHSC_00605	656	367	384	1325	2034	90
gene-SAOUHSC_00606	4660	3066	2609	6170	7906	965
gene-SAOUHSC_00607	2771	1879	1642	3188	3441	473
gene-SAOUHSC_00608	4111	3420	2322	55897	80886	16029
gene-SAOUHSC_00609	11	9	12	77	39	8
gene-SAOUHSC_00610	642	481	468	1381	2063	73
gene-SAOUHSC_00611	4358	2641	3265	6345	7638	466
gene-SAOUHSC_00612	176	94	129	118	159	26
gene-SAOUHSC_00613	1985	1067	1390	1653	1921	133
gene-SAOUHSC_00614	661	522	425	1532	2491	112
gene-SAOUHSC_00615	803	558	510	1660	2065	217
gene-SAOUHSC_00616	1603	1112	1174	2007	2715	188
gene-SAOUHSC_00617	38220	34292	18971	47620	42934	18413
gene-SAOUHSC_00618	2766	2071	2271	4144	6598	380
gene-SAOUHSC_00619	5014	6066	3648	12109	18275	1502
gene-SAOUHSC_00620	33004	33075	23508	96197	121346	17951
gene-SAOUHSC_00621	997	772	661	1530	2426	240
gene-SAOUHSC_00622	532	306	316	230	361	34
gene-SAOUHSC_00624	3503	3393	2760	3535	5028	335
gene-SAOUHSC_00625	14039	13699	9876	17960	25529	3891
gene-SAOUHSC_00626	2063	1971	1645	3018	4618	793
gene-SAOUHSC_00627	1394	1295	975	1887	3429	606
gene-SAOUHSC_00628	7561	8185	5734	11885	19791	3869
gene-SAOUHSC_00629	291	268	314	812	1741	360
gene-SAOUHSC_00630	1153	1165	806	1850	3084	331
gene-SAOUHSC_00632	3593	3008	2210	4981	7179	909
gene-SAOUHSC_00633	12360	10118	6849	14612	15989	1794
gene-SAOUHSC_00634	29481	22909	25635	14520	26068	2756
gene-SAOUHSC_00636	12355	9196	11112	7547	14644	618
gene-SAOUHSC_00637	10878	7924	7151	13382	23835	2305
gene-SAOUHSC_00638	8035	5538	6161	4726	5229	966
gene-SAOUHSC_00639	3488	2250	2672	1325	1396	335
gene-SAOUHSC_00640	1421	955	1064	2159	3058	397
gene-SAOUHSC_00641	9831	7603	7938	6829	7567	1650
gene-SAOUHSC_00642	9483	7266	8138	7405	8092	311
gene-SAOUHSC_00643	2908	2048	2329	2451	3191	315
gene-SAOUHSC_00644	3115	2397	2759	2270	3321	233
gene-SAOUHSC_00645	1622	1192	1532	1143	1486	285
gene-SAOUHSC_00646	4609	3837	3974	3850	6128	671
gene-SAOUHSC_00647	61926	40592	43540	14593	15486	2743
gene-SAOUHSC_00648	11286	7584	9555	9804	10099	2331
gene-SAOUHSC_00650	630	619	187	1510	371	25
gene-SAOUHSC_00651	3412	2712	2992	2404	3796	518
gene-SAOUHSC_00652	4705	3885	2866	5074	7990	1009
gene-SAOUHSC_00653	2999	2309	1855	2024	2745	439
gene-SAOUHSC_00654	5300	4057	3442	3047	4663	724
gene-SAOUHSC_00655	1651	1634	839	2549	4089	1025
gene-SAOUHSC_00656	1055	1104	619	1507	3292	732
gene-SAOUHSC_00658	654	578	377	744	1557	177
gene-SAOUHSC_00659	11116	9499	7634	17356	13829	504
gene-SAOUHSC_00660	25769	27524	33197	9817	9940	2304
gene-SAOUHSC_00661	1428	1175	1241	1146	1365	106
gene-SAOUHSC_A00635	30	14	57	36	50	12
gene-SAOUHSC_00662	4693	3268	3874	1227	985	89
gene-SAOUHSC_00663	2169	1640	964	3605	2806	290
gene-SAOUHSC_00664	1599	1354	1108	2182	3109	182
gene-SAOUHSC_00665	1207	846	869	1257	1218	117
gene-SAOUHSC_00666	1916	1297	1394	1777	2172	258
gene-SAOUHSC_00667	2305	1845	1540	9104	15138	1550
gene-SAOUHSC_00668	5694	4332	4601	10683	19309	601
gene-SAOUHSC_00669	3933	3382	3660	4456	5154	364
gene-SAOUHSC_00670	9095	7917	6743	6691	5888	1519
gene-SAOUHSC_00671	6127	5357	4048	12831	9975	3284
gene-SAOUHSC_00672	2653	1876	1734	2714	3133	222
gene-SAOUHSC_00673	1073	636	841	894	1506	104
gene-SAOUHSC_00674	223	104	188	672	2001	43
gene-SAOUHSC_00675	6422	5080	4743	5766	6579	1550
gene-SAOUHSC_00676	4885	3693	3646	3928	3515	872
gene-SAOUHSC_00677	10	3	8	16	15	2
gene-SAOUHSC_00678	1866	1627	1250	4754	7032	451
gene-SAOUHSC_00679	3931	3389	2957	6801	9219	541
gene-SAOUHSC_00680	577	464	487	790	1791	210
gene-SAOUHSC_00681	3640	2986	2467	3876	4664	584
gene-SAOUHSC_00682	1176	906	954	1709	2153	192
gene-SAOUHSC_00683	467	310	310	1316	1730	104
gene-SAOUHSC_00684	155	83	105	179	221	30
gene-SAOUHSC_00685	959	616	561	1946	2719	162
gene-SAOUHSC_00686	1934	1702	1185	6334	6774	616
gene-SAOUHSC_00687	451	331	311	891	911	178
gene-SAOUHSC_00688	4663	4819	2679	18444	13858	10975
gene-SAOUHSC_00689	2797	2672	1806	11258	10788	3505
gene-SAOUHSC_00690	4665	4124	2801	20828	21464	3327
gene-SAOUHSC_00691	2612	2109	1999	3637	6278	1257
gene-SAOUHSC_00692	6268	4529	4241	6945	8436	1543
gene-SAOUHSC_00693	8658	6955	6077	9551	9858	1008
gene-SAOUHSC_00694	77410	80105	64041	82058	75802	10087
gene-SAOUHSC_00695	1560	1166	994	1853	1430	276
gene-SAOUHSC_00696	3124	2288	2212	3376	4732	662
gene-SAOUHSC_00697	396	192	382	489	570	49
gene-SAOUHSC_00698	3633	2581	2932	2738	3391	725
gene-SAOUHSC_00699	7567	5931	6467	6986	9889	1912
gene-SAOUHSC_00700	1045	696	747	1038	993	106
gene-SAOUHSC_00701	788	569	902	1144	1743	181
gene-SAOUHSC_00702	927	780	740	1047	915	72
gene-SAOUHSC_00703	2294	1955	1997	2123	2598	416
gene-SAOUHSC_00704	635	463	700	1169	1465	91
gene-SAOUHSC_00705	545	372	439	441	939	99
gene-SAOUHSC_00706	8698	6461	6294	2821	5909	820
gene-SAOUHSC_00707	11795	10539	8449	4354	14973	6571
gene-SAOUHSC_00708	47920	40126	33501	29903	67006	18172
gene-SAOUHSC_00709	742	397	474	556	303	50
gene-SAOUHSC_00710	1497	1029	838	1492	1927	379
gene-SAOUHSC_00711	5598	4639	3551	16382	17472	1656
gene-SAOUHSC_00712	729	629	371	3483	5064	1336
gene-SAOUHSC_00713	2351	1998	1523	9969	10849	1800
gene-SAOUHSC_00714	48420	33913	27478	35657	40496	1775
gene-SAOUHSC_00715	31053	22214	17657	27742	31467	1844
gene-SAOUHSC_00716	16177	11327	9251	18542	15714	1009
gene-SAOUHSC_00717	24767	16837	13048	24272	23690	476
gene-SAOUHSC_00718	2273	1222	2438	1418	1503	208
gene-SAOUHSC_00719	8527	6525	7689	3200	4507	1284
gene-SAOUHSC_00720	3121	2584	2858	1244	1925	140
gene-SAOUHSC_00721	3400	2624	3292	1109	1916	145
gene-SAOUHSC_00722	430	324	340	286	260	63
gene-SAOUHSC_00723	1223	824	940	747	1002	262
gene-SAOUHSC_00724	834	632	700	614	914	98
gene-SAOUHSC_00725	372	301	373	559	562	26
gene-SAOUHSC_00726	1866	1378	1576	2079	2769	248
gene-SAOUHSC_00727	3309	2494	2816	3281	3902	807
gene-SAOUHSC_00728	252054	170462	213768	75353	61564	6221
gene-SAOUHSC_A00703	17	11	21	20	26	0
gene-SAOUHSC_00729	18227	12092	13779	9759	14135	2331
gene-SAOUHSC_00730	32573	19982	25404	14404	21477	2178
gene-SAOUHSC_00731	2007	1877	1140	5287	7345	2807
gene-SAOUHSC_00732	5504	4104	3310	8800	11524	1621
gene-SAOUHSC_00733	1002	877	699	6500	8462	1052
gene-SAOUHSC_00734	2625	1942	1823	5819	7025	574
gene-SAOUHSC_00735	356	244	246	706	1076	223
gene-SAOUHSC_00736	10013	10552	6631	19398	18136	3411
gene-SAOUHSC_00737	12	11	12	26	39	7
gene-SAOUHSC_00738	6938	6507	4253	40726	41845	9085
gene-SAOUHSC_00739	2540	2029	2145	1547	1974	505
gene-SAOUHSC_00740	3487	2716	2874	2494	3318	186
gene-SAOUHSC_00741	3940	2849	2632	10523	12982	1783
gene-SAOUHSC_00742	37650	25853	23957	92879	110398	12660
gene-SAOUHSC_00743	18466	12833	11853	51884	59168	5625
gene-SAOUHSC_00744	385	172	207	88	57	52
gene-SAOUHSC_00745	15	4	11	4	6	4
gene-SAOUHSC_00746	1149	983	790	653	740	89
gene-SAOUHSC_00747	828	621	702	392	471	14
gene-SAOUHSC_00748	752	561	548	184	201	17
gene-SAOUHSC_00749	1637	1247	1245	593	872	93
gene-SAOUHSC_00751	1299	1027	969	1486	1706	188
gene-SAOUHSC_00752	2121	1470	1368	2430	2382	561
gene-SAOUHSC_00753	342	279	239	681	797	34
gene-SAOUHSC_00754	1881	1135	1393	1312	1684	100
gene-SAOUHSC_00755	9297	8239	6616	4212	4803	327
gene-SAOUHSC_00756	4795	4664	3419	3802	4851	1392
gene-SAOUHSC_00757	10185	6934	7088	6900	8200	2118
gene-SAOUHSC_00758	725	514	479	643	810	135
gene-SAOUHSC_00759	861	611	582	784	830	142
gene-SAOUHSC_00760	26168	20015	27110	4625	4260	331
gene-SAOUHSC_00762	2913	2079	2317	4066	5960	665
gene-SAOUHSC_00763	2456	1784	1353	3033	3255	958
gene-SAOUHSC_00764	5112	3432	3855	3961	2522	336
gene-SAOUHSC_00765	791	728	719	264	219	10
gene-SAOUHSC_00766	762	555	568	369	452	67
gene-SAOUHSC_00767	20470	17515	10749	51050	68782	7091
gene-SAOUHSC_00769	42036	32380	25727	44184	54896	14878
gene-SAOUHSC_00770	87	63	82	102	126	44
gene-SAOUHSC_00771	4046	2772	2956	4312	6816	2162
gene-SAOUHSC_00772	23	11	20	16	17	4
gene-SAOUHSC_00773	1477	1106	1152	495	690	59
gene-SAOUHSC_00774	633	306	383	1910	2964	147
gene-SAOUHSC_00775	224	106	119	527	607	23
gene-SAOUHSC_00776	5953	4294	4406	2431	2583	460
gene-SAOUHSC_00778	0	0	0	0	0	0
gene-SAOUHSC_A00747	0	0	0	0	0	0
gene-SAOUHSC_00779	7943	5628	5987	3535	3822	551
gene-SAOUHSC_00780	35449	25828	29223	16016	15643	5590
gene-SAOUHSC_00781	2184	2046	1247	6375	9551	1598
gene-SAOUHSC_00782	789	749	486	2825	4645	920
gene-SAOUHSC_00783	569	489	363	1648	2596	330
gene-SAOUHSC_00784	2538	2002	1623	4980	5888	400
gene-SAOUHSC_00785	9235	7491	4181	15583	20815	7298
gene-SAOUHSC_00786	1509	1413	826	2143	2176	1469
gene-SAOUHSC_00787	3512	3495	2214	5168	8651	880
gene-SAOUHSC_00788	11297	12422	7231	26993	35569	16603
gene-SAOUHSC_00789	16657	16011	10709	27958	38990	8152
gene-SAOUHSC_T0005	166	176	111	385	532	77
gene-SAOUHSC_00790	19174	15235	11461	16079	13389	1579
gene-SAOUHSC_00792	3515	3416	2461	15044	15984	4436
gene-SAOUHSC_00793	6315	6802	4690	24526	44754	15537
gene-SAOUHSC_00794	38821	30586	24713	101899	74489	33455
gene-SAOUHSC_00795	58028	47891	34787	300993	267062	93871
gene-SAOUHSC_00796	14556	10670	8530	85494	81048	21419
gene-SAOUHSC_00797	14437	11782	9145	79133	89932	22622
gene-SAOUHSC_00798	29029	22350	17653	147139	154437	86821
gene-SAOUHSC_00799	39946	31368	21653	153937	148900	104091
gene-SAOUHSC_00800	3642	2707	3237	5197	5053	155
gene-SAOUHSC_00801	9404	8990	7148	8351	13540	5818
gene-SAOUHSC_00802	16299	17053	14723	9169	12632	1993
gene-SAOUHSC_00803	71510	74542	62885	49281	56371	11358
gene-SAOUHSC_00804	15659	15599	13467	10736	14458	3402
gene-SAOUHSC_00805	218	152	170	185	184	13
gene-SAOUHSC_00806	1248	731	1310	332	536	46
gene-SAOUHSC_00807	887	503	655	213	245	51
gene-SAOUHSC_00808	2156	1340	1832	865	947	85
gene-SAOUHSC_00809	11	10	7	6	3	1
gene-SAOUHSC_00810	189	220	166	507	913	135
gene-SAOUHSC_00811	850	781	691	1590	2944	492
gene-SAOUHSC_00812	115746	118126	74173	122982	112338	130685
gene-SAOUHSC_00813	149	131	109	170	75	20
gene-SAOUHSC_00814	2867	1849	1889	2404	881	111
gene-SAOUHSC_00816	1079	791	752	2066	1726	180
gene-SAOUHSC_00817	580	475	300	994	882	259
gene-SAOUHSC_00818	372	213	304	79	81	6
gene-SAOUHSC_00819	52982	38287	33128	91542	61427	14246
gene-SAOUHSC_00820	1869	1644	1406	3087	2732	276
gene-SAOUHSC_00821	974	974	739	1840	1672	206
gene-SAOUHSC_00822	593	544	421	974	1223	319
gene-SAOUHSC_00823	1039	792	997	2301	1963	227
gene-SAOUHSC_00824	995	752	825	2095	2745	316
gene-SAOUHSC_00825	11153	14044	8469	34740	56336	2818
gene-SAOUHSC_00826	3420	3536	2491	11324	12902	646
gene-SAOUHSC_00827	7180	5444	6496	1671	1401	456
gene-SAOUHSC_00828	1785	1375	1406	6136	5595	539
gene-SAOUHSC_00830	8499	6956	6866	7174	6329	464
gene-SAOUHSC_00831	2624	2943	1820	6430	7519	3527
gene-SAOUHSC_00832	1027	811	747	656	695	43
gene-SAOUHSC_00833	8774	6957	5891	4353	6563	1393
gene-SAOUHSC_00834	1737	1322	798	2733	2252	843
gene-SAOUHSC_00835	539	400	281	3173	5475	129
gene-SAOUHSC_00836	4367	3617	2711	11967	16617	1044
gene-SAOUHSC_00837	55	56	65	78	152	7
gene-SAOUHSC_00838	1777	1711	1296	1312	1249	129
gene-SAOUHSC_00839	240	208	174	184	203	61
gene-SAOUHSC_00840	1155	1122	833	1658	1462	228
gene-SAOUHSC_00841	564	615	510	1075	1214	157
gene-SAOUHSC_00842	13683	10614	13206	30854	54293	11158
gene-SAOUHSC_00843	7323	5739	6695	10934	20506	3897
gene-SAOUHSC_00844	15595	11173	15853	16715	37196	3099
gene-SAOUHSC_00845	69354	54971	36983	122873	130021	5858
gene-SAOUHSC_00846	28400	30693	22122	15655	17750	5028
gene-SAOUHSC_00847	55197	57156	42768	26798	26421	6108
gene-SAOUHSC_00848	105951	98967	79697	44233	37153	8516
gene-SAOUHSC_00849	117569	109869	89983	45495	47230	19335
gene-SAOUHSC_00850	51937	50034	41121	18455	21091	7115
gene-SAOUHSC_00851	129714	113163	97916	49946	61920	9548
gene-SAOUHSC_00852	118	81	129	221	340	16
gene-SAOUHSC_00853	148	110	139	305	202	18
gene-SAOUHSC_00854	2135	1794	1343	6133	7007	1408
gene-SAOUHSC_00855	1388	1182	860	3180	4149	2372
gene-SAOUHSC_00857	88	68	57	50	87	47
gene-SAOUHSC_00858	1162	895	625	1502	1754	131
gene-SAOUHSC_00859	747	517	464	995	1121	237
gene-SAOUHSC_00860	2064	1613	1180	2694	3298	378
gene-SAOUHSC_00861	10382	9756	7164	17635	19017	4089
gene-SAOUHSC_00862	745	666	494	1373	1393	144
gene-SAOUHSC_00863	940	724	611	897	1035	49
gene-SAOUHSC_00864	430	373	306	944	1100	50
gene-SAOUHSC_00865	1094	814	752	2007	2049	340
gene-SAOUHSC_00866	2195	1750	1444	2941	3510	646
gene-SAOUHSC_00867	1	1	2	1	4	1
gene-SAOUHSC_00868	358	351	435	2263	8209	189
gene-SAOUHSC_00869	12736	11238	8993	35705	53975	3372
gene-SAOUHSC_00870	7314	5857	5800	14820	14813	651
gene-SAOUHSC_00871	1698	1323	1672	3091	5523	179
gene-SAOUHSC_00872	12484	9655	9125	18417	19902	1039
gene-SAOUHSC_00873	7074	4439	4507	6275	5424	989
gene-SAOUHSC_00874	1167	614	902	472	498	56
gene-SAOUHSC_00875	11302	8841	7354	9108	8588	3375
gene-SAOUHSC_00876	1286	918	628	1948	3016	465
gene-SAOUHSC_00877	1849	1453	918	2981	3129	806
gene-SAOUHSC_00878	17531	13461	10760	25361	27203	6334
gene-SAOUHSC_00879	2241	1648	1151	2665	3687	486
gene-SAOUHSC_00880	7956	6867	5331	9955	6424	1070
gene-SAOUHSC_00881	4855	4099	3194	4569	4755	767
gene-SAOUHSC_00882	8364	4418	3584	341	474	67
gene-SAOUHSC_00883	2495	1634	1705	3710	4517	457
gene-SAOUHSC_00884	831	693	541	1433	1444	743
gene-SAOUHSC_00885	3023	2533	2422	5471	9280	811
gene-SAOUHSC_00886	7681	6567	5281	13756	16283	2412
gene-SAOUHSC_00887	1814	1557	1209	3448	5223	507
gene-SAOUHSC_00888	1797	1473	1240	3767	4481	501
gene-SAOUHSC_00889	9420	7998	5902	21966	28530	4098
gene-SAOUHSC_00890	392	227	239	502	590	52
gene-SAOUHSC_00891	4565	3301	2619	5100	5278	2591
gene-SAOUHSC_00892	5854	5366	3668	6989	8769	2171
gene-SAOUHSC_00893	1663	1253	800	3290	5626	1770
gene-SAOUHSC_00894	5378	5790	2936	15212	19479	2739
gene-SAOUHSC_00895	17472	17173	10864	24337	31573	7505
gene-SAOUHSC_00896	2004	1807	1065	858	868	919
gene-SAOUHSC_00897	1287	986	1080	1188	1529	187
gene-SAOUHSC_00898	33519	30242	43941	1904	8013	631
gene-SAOUHSC_00899	17020	15221	21890	1254	7235	1333
gene-SAOUHSC_00900	9900	7080	5537	21618	21581	3188
gene-SAOUHSC_00901	2664	1977	2103	4208	7130	401
gene-SAOUHSC_00902	2624	2271	2046	3798	5752	1136
gene-SAOUHSC_00903	2938	2530	1836	2828	3677	273
gene-SAOUHSC_00904	6828	5673	4791	6367	7723	905
gene-SAOUHSC_00905	13186	10662	9850	10920	13008	2385
gene-SAOUHSC_00906	9450	7646	5766	20087	25582	7521
gene-SAOUHSC_00907	1541	1079	1012	1554	1656	503
gene-SAOUHSC_00908	6576	5856	3841	11909	13402	4822
gene-SAOUHSC_00909	3239	2643	2074	4124	4548	778
gene-SAOUHSC_00910	2923	3098	1926	5827	7456	915
gene-SAOUHSC_00911	2957	1709	1907	580	550	38
gene-SAOUHSC_00912	370983	361532	242779	59158	19004	1754
gene-SAOUHSC_00913	478	589	498	92	65	2
gene-SAOUHSC_00914	639	896	629	63	47	4
gene-SAOUHSC_00915	312	448	388	75	84	10
gene-SAOUHSC_00916	231	225	229	145	130	14
gene-SAOUHSC_00917	259	316	199	187	216	25
gene-SAOUHSC_00918	2082	1662	1760	735	676	474
gene-SAOUHSC_00919	1677	1348	1033	3829	2771	123
gene-SAOUHSC_00920	2069	1641	1596	4096	7695	3228
gene-SAOUHSC_00921	8508	6824	6039	17900	27812	16679
gene-SAOUHSC_00922	91	51	48	302	262	14
gene-SAOUHSC_00923	564	439	416	5235	4855	470
gene-SAOUHSC_00924	774	641	609	4839	5576	1100
gene-SAOUHSC_00925	1567	1392	1434	7963	11653	3099
gene-SAOUHSC_00926	1781	1322	1744	8333	12497	3042
gene-SAOUHSC_00927	7290	4956	6443	22710	30765	6603
gene-SAOUHSC_00928	607	337	348	461	718	108
gene-SAOUHSC_00929	290	165	174	194	271	20
gene-SAOUHSC_00930	395	216	238	310	445	75
gene-SAOUHSC_00931	396	201	265	773	963	52
gene-SAOUHSC_00932	641	388	430	441	561	136
gene-SAOUHSC_00933	4150	2803	3347	5226	6504	543
gene-SAOUHSC_00934	377314	306689	283089	203599	252830	36562
gene-SAOUHSC_00935	34313	29854	19274	31544	39610	3339
gene-SAOUHSC_00936	307	248	255	90	149	12
gene-SAOUHSC_00937	1374	910	795	5947	8278	829
gene-SAOUHSC_00938	3428	2576	2193	3554	4270	467
gene-SAOUHSC_00939	1395	999	813	2215	2638	196
gene-SAOUHSC_00940	624	437	341	1342	1010	74
gene-SAOUHSC_00941	1503	1216	1033	2084	2998	123
gene-SAOUHSC_00942	4080	3414	2633	4850	6845	965
gene-SAOUHSC_00943	7014	5785	4552	7203	8067	1558
gene-SAOUHSC_00944	2336	1714	1651	2455	3416	471
