# Program:featureCounts v1.4.6-p3; Command:"./subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379721" "SRR10379722" "SRR10379723" "SRR10379724" "SRR10379725" "SRR10379726" 
Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00111	22	19	20	59	37	60
gene-SAOUHSC_00112	301	215	225	373	614	55
gene-SAOUHSC_00113	3077	1934	1928	8778	21602	5753
gene-SAOUHSC_00114	1436	1572	1040	6073	11210	1019
gene-SAOUHSC_00115	1838	2062	1264	7007	12968	2257
gene-SAOUHSC_00116	2188	2538	1515	6890	15496	2341
gene-SAOUHSC_00117	4551	5361	2847	11080	23300	8766
gene-SAOUHSC_00118	2519	2868	1707	5625	13735	4285
gene-SAOUHSC_00119	2832	3063	1794	5325	14237	2415
gene-SAOUHSC_00120	2794	3189	1849	5805	14362	5602
gene-SAOUHSC_00121	1245	1237	820	2637	6821	1692
gene-SAOUHSC_00122	1893	1852	1185	4184	10913	1366
gene-SAOUHSC_00123	1285	1204	819	3010	7719	2229
gene-SAOUHSC_00124	861	732	679	2173	5644	725
gene-SAOUHSC_00125	2715	2731	1716	4507	14905	4662
gene-SAOUHSC_00126	1282	1279	860	2123	8246	3304
gene-SAOUHSC_00127	2625	2516	1704	4039	10914	1820
gene-SAOUHSC_00128	3895	3747	2340	5370	17675	5627
gene-SAOUHSC_00129	4367	4038	2844	5613	15454	5475
gene-SAOUHSC_00130	1129	934	750	605	914	63
gene-SAOUHSC_00131	814	674	551	516	783	42
gene-SAOUHSC_00132	12912	13802	4773	22219	33400	3107
gene-SAOUHSC_00133	972	833	657	1615	1792	185
gene-SAOUHSC_00134	139	149	89	251	322	15
gene-SAOUHSC_00135	1526	856	967	274	337	114
gene-SAOUHSC_00136	559	318	334	118	109	17
gene-SAOUHSC_00137	825	505	531	167	195	69
gene-SAOUHSC_00138	641	423	377	90	109	22
gene-SAOUHSC_00139	1556	937	978	1087	1864	294
gene-SAOUHSC_00141	32049	19882	20453	5679	5403	287
gene-SAOUHSC_00142	2284	1956	1442	431	437	114
gene-SAOUHSC_00143	11837	6209	7048	2139	2603	349
gene-SAOUHSC_00144	134101	77561	76936	60108	68464	14103
gene-SAOUHSC_00145	20753	12219	11752	7502	7475	1048
gene-SAOUHSC_00146	4057	2280	3389	3830	3568	2007
gene-SAOUHSC_00147	3110	1688	2776	464	521	64
gene-SAOUHSC_00148	3684	2103	3298	554	679	160
gene-SAOUHSC_00149	1176	631	899	269	330	50
gene-SAOUHSC_00150	1981	1179	1527	533	677	155
gene-SAOUHSC_00151	2326	1655	1736	6792	7606	355
gene-SAOUHSC_00152	1719	1372	887	898	868	328
gene-SAOUHSC_00153	3333	2786	1606	1561	3090	455
gene-SAOUHSC_00154	38	26	22	10	9	0
gene-SAOUHSC_00155	6074	3848	3881	12943	12962	3509
gene-SAOUHSC_00156	3276	3937	2183	6903	16989	1778
gene-SAOUHSC_00157	2110	2818	1502	2498	8081	2491
gene-SAOUHSC_00158	3655	4634	2461	3426	9306	2968
gene-SAOUHSC_00160	2758	3159	1789	1828	3777	387
gene-SAOUHSC_00161	115	54	67	123	276	10
gene-SAOUHSC_00162	3347	2686	2093	4582	5832	667
gene-SAOUHSC_00163	1253	1039	784	3116	4839	250
gene-SAOUHSC_00164	1228	1137	721	2704	3158	290
gene-SAOUHSC_00166	1756	1589	1167	2862	5045	487
gene-SAOUHSC_00167	3925	2485	2786	671	779	205
gene-SAOUHSC_00168	1666	1251	1313	359	350	43
gene-SAOUHSC_00169	984	711	760	161	179	35
gene-SAOUHSC_00170	1756	1151	1377	339	514	99
gene-SAOUHSC_00171	5241	4512	4256	1057	1222	301
gene-SAOUHSC_00172	2723	2146	2283	453	433	24
gene-SAOUHSC_00173	41082	24844	35322	1113	1488	86
gene-SAOUHSC_00174	3068	3437	1869	1760	2426	492
gene-SAOUHSC_00175	549	420	351	300	415	79
gene-SAOUHSC_00176	1061	902	752	249	353	72
gene-SAOUHSC_00177	1307	1233	922	325	528	110
gene-SAOUHSC_00178	924	919	669	231	296	33
gene-SAOUHSC_00179	1732	1755	1273	384	563	227
gene-SAOUHSC_00180	1721	1755	1248	436	584	185
gene-SAOUHSC_00181	2195	2145	1533	599	609	128
gene-SAOUHSC_00182	678	441	470	877	985	44
gene-SAOUHSC_00183	3416	4767	3728	2315	1434	600
gene-SAOUHSC_00184	553	308	417	548	607	99
gene-SAOUHSC_00185	880	528	591	944	1434	157
gene-SAOUHSC_00186	552	347	370	743	860	120
gene-SAOUHSC_00187	12519	10025	7168	116231	174948	49197
gene-SAOUHSC_00188	5521	4092	3008	39213	70635	26722
gene-SAOUHSC_00189	140	88	90	209	486	46
gene-SAOUHSC_00190	1406	893	978	1621	2188	204
gene-SAOUHSC_00191	4090	3293	2200	4812	4521	96
gene-SAOUHSC_00192	6188	9565	5373	6000	3034	299
gene-SAOUHSC_00193	260	410	301	330	198	2
gene-SAOUHSC_00194	397	575	327	119	171	34
gene-SAOUHSC_00195	3129	5647	2109	842	1837	496
gene-SAOUHSC_00196	4084	8464	2702	1734	5416	576
gene-SAOUHSC_00197	1924	5251	1231	1823	5282	871
gene-SAOUHSC_00198	3408	8153	1951	7394	14217	1265
gene-SAOUHSC_00199	4259	9314	2327	23791	38375	4536
gene-SAOUHSC_00200	1100	614	734	903	1262	170
gene-SAOUHSC_00201	2661	1358	1955	1444	1708	151
gene-SAOUHSC_00202	382	219	245	494	670	105
gene-SAOUHSC_00203	212	105	129	524	788	108
gene-SAOUHSC_00204	2257	1446	1230	6141	11262	1033
gene-SAOUHSC_00205	56	35	45	28	44	3
gene-SAOUHSC_00206	14647	13928	10757	132326	251465	57681
gene-SAOUHSC_00208	16	18	13	35	13	6
gene-SAOUHSC_00209	1933	1514	1228	1811	1279	640
gene-SAOUHSC_00211	444	311	278	491	608	289
gene-SAOUHSC_00212	6	2	3	0	0	0
gene-SAOUHSC_00213	724	412	399	422	419	32
gene-SAOUHSC_00214	142	75	89	31	25	4
gene-SAOUHSC_00215	72	51	60	26	23	2
gene-SAOUHSC_00216	671	388	395	231	212	33
gene-SAOUHSC_00217	725	425	415	272	299	77
gene-SAOUHSC_00218	40	28	35	18	13	6
gene-SAOUHSC_00219	1249	690	689	518	539	192
gene-SAOUHSC_00220	996	949	563	2509	3834	1234
gene-SAOUHSC_00221	1346	1150	785	3086	3520	445
gene-SAOUHSC_A00219	161	124	89	279	686	74
gene-SAOUHSC_00222	2906	2200	1900	4731	6531	1134
gene-SAOUHSC_00223	2226	1779	1222	1731	2662	349
gene-SAOUHSC_00225	2959	2362	1964	3115	3366	525
gene-SAOUHSC_00226	6708	5131	4857	6585	9415	1345
gene-SAOUHSC_00227	15145	11420	11887	12835	20284	2370
gene-SAOUHSC_00228	33172	26103	27145	21483	32513	6676
gene-SAOUHSC_00229	925	582	597	1654	3852	510
gene-SAOUHSC_00230	1209	969	805	5297	7434	1089
gene-SAOUHSC_00231	312	185	178	599	1014	75
gene-SAOUHSC_00232	187	230	150	371	2348	180
gene-SAOUHSC_00233	966	1045	592	1086	4959	1700
gene-SAOUHSC_00234	1390	1051	929	802	1018	67
gene-SAOUHSC_00235	821	453	443	165	284	19
gene-SAOUHSC_00236	1260	893	792	249	366	106
gene-SAOUHSC_00237	695	500	425	295	340	28
gene-SAOUHSC_00238	39	12	28	13	13	2
gene-SAOUHSC_00239	2707	2371	1359	1895	3652	952
gene-SAOUHSC_00240	1157	1009	648	785	1727	139
gene-SAOUHSC_00241	2563	2200	1373	1566	1871	903
gene-SAOUHSC_00242	1754	1364	1098	1960	2271	594
