"GeneID";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"GeneName";"aaRS";"color"
"SAOUHSC_01328";16047,2327377541;0,216714489094525;0,251530802061807;0,861582308481142;0,388917409874336;0,480389545341688;"rpmG2";FALSE;"grey"
"SAOUHSC_01329";3331,33329026507;3,64046000989025;0,486699107834124;7,47989867105116;7,43799388105242e-14;1,19664195674579e-12;"rpsN2";FALSE;"red"
"SAOUHSC_01471";7721,80649206818;-0,722907157824977;0,282582744294433;-2,55821408922179;0,0105211297109554;0,021684468545187;"asnC";FALSE;"red"
"SAOUHSC_01493";23653,2183016886;-0,910261447881201;0,323439322862672;-2,81431905009177;0,00488806880406625;0,0110577900571722;"rpsA";FALSE;"red"
"SAOUHSC_01625";8648,7392660108;-0,59429688842652;0,245822303978302;-2,41758733364966;0,0156237842568442;0,0309421071270593;"efp";FALSE;"red"
"SAOUHSC_01651";3522,45501612549;0,326951019412528;0,483720718856785;0,675908652797087;0,49909864367517;0,587294591785769;"rpmG";FALSE;"grey"
"SAOUHSC_01666";34544,5687700405;-1,19374357469238;0,252268680668111;-4,73203241690906;2,22282902835829e-06;1,09146093223697e-05;"glyS";TRUE;"red"
"SAOUHSC_01678";19370,6624478824;0,350337308083172;0,426687862515035;0,821062277277287;0,411610795663671;0,502345170075921;"rpsU";FALSE;"grey"
"SAOUHSC_01689";5845,17269916052;0,260229555468193;0,510640203671834;0,509614310814099;0,61032169594416;0,687208661345112;"rpsT";FALSE;"grey"
"SAOUHSC_01722";8984,4192354635;-1,11578937822172;0,367467506539212;-3,0364300471902;0,00239397650741583;0,0058880627228258;"alaS";TRUE;"red"
"SAOUHSC_01737";4175,17258060811;-1,08268130831368;0,332077180622316;-3,26033034333983;0,00111282520438932;0,00298389895490665;"aspS";TRUE;"red"
"SAOUHSC_01738";1032,41378381599;-0,477394655981271;0,194505239220712;-2,45440512499282;0,0141117897148292;0,0282545716471873;"hisS";TRUE;"red"
"SAOUHSC_01755";37120,2775560577;0,607240782938287;0,442261437434406;1,37303579181794;0,169741220096952;0,241039583055641;"rpmA";FALSE;"grey"
"SAOUHSC_01757";52240,3390302734;0,628177200465629;0,309341266632895;2,03069318006998;0,042286128610801;0,0738522105686722;"rplU";FALSE;"grey"
