"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","geneID","Locus_Tag","is_ribosomal"
13249.4261415182,-0.00545916881136004,0.400977506610009,-0.0136146510000363,0.989137415746511,0.996488864395686,"gene-SAOUHSC_00001","SAOUHSC_00001",FALSE
9727.63555369816,0.140712827275911,0.352615870944416,0.399054151757371,0.68985330380815,0.983741611261197,"gene-SAOUHSC_00002","SAOUHSC_00002",FALSE
851.477142239577,0.726887906311611,0.392650979907802,1.85123161155052,0.0641362398480218,0.983741611261197,"gene-SAOUHSC_00003","SAOUHSC_00003",FALSE
7003.07638048183,0.604611209658491,0.592382539516469,1.02064319814693,0.307423515144829,0.983741611261197,"gene-SAOUHSC_00004","SAOUHSC_00004",FALSE
16125.593670014,0.263341777195,0.645924930696537,0.407697186902235,0.683496002994074,0.983741611261197,"gene-SAOUHSC_00005","SAOUHSC_00005",FALSE
21435.9857373403,0.472756576720142,0.672199696470674,0.703297813435961,0.481870173069234,0.983741611261197,"gene-SAOUHSC_00006","SAOUHSC_00006",FALSE
4012.84287498115,-0.0513965519655988,0.477073827863126,-0.10773291042984,0.914207562687319,0.991763386332662,"gene-SAOUHSC_00007","SAOUHSC_00007",FALSE
1697.6040528632,0.232137023509229,0.563112069564985,0.412239474264082,0.680163906693917,0.983741611261197,"gene-SAOUHSC_00008","SAOUHSC_00008",FALSE
21937.4180790814,-1.64891910976175,1.29138881862408,-1.27685719899496,0.201652667235631,0.983741611261197,"gene-SAOUHSC_00009","SAOUHSC_00009",FALSE
1008.50532554244,-0.982745972097895,0.981006522442188,-1.00177312751334,0.316453178715785,0.983741611261197,"gene-SAOUHSC_00010","SAOUHSC_00010",FALSE
677.68672603074,-1.3934191930849,0.961595700473745,-1.44906969987325,0.147318118781264,0.983741611261197,"gene-SAOUHSC_00012","SAOUHSC_00012",FALSE
3192.98346701362,-1.33405300814525,0.838791950304788,-1.59044564943727,0.111734387491052,0.983741611261197,"gene-SAOUHSC_00013","SAOUHSC_00013",FALSE
4080.82725468474,-0.228721549462406,0.42508086088873,-0.538065978750986,0.590531499001467,0.983741611261197,"gene-SAOUHSC_00014","SAOUHSC_00014",FALSE
18651.8588867079,-0.186355543522093,0.393739963115522,-0.473295984607529,0.636002026475143,0.983741611261197,"gene-SAOUHSC_00015","SAOUHSC_00015",FALSE
4402.82241550499,-0.0214047069490019,0.376423200009824,-0.056863410513601,0.954654001309779,0.995550562249363,"gene-SAOUHSC_00017","SAOUHSC_00017",FALSE
12074.7594856952,-0.699968297352472,0.554017659324775,-1.26344040766783,0.206430950166273,0.983741611261197,"gene-SAOUHSC_00018","SAOUHSC_00018",FALSE
6509.24564964197,-0.440831310945682,0.614342623404082,-0.717565889377867,0.473024996160551,0.983741611261197,"gene-SAOUHSC_00019","SAOUHSC_00019",FALSE
115.72610748922,-2.09529093333026,1.25693627113486,-1.66698263185488,0.0955178584700077,0.983741611261197,"gene-SAOUHSC_T00018","SAOUHSC_T00018",FALSE
286.337851353497,-0.381007625155206,1.0646028963364,-0.357887083030076,0.72042781761229,0.983741611261197,"gene-SAOUHSC_T00011","SAOUHSC_T00011",FALSE
3060.20074416979,-0.166312702551297,0.363476185285827,-0.457561483486224,0.647267520616623,0.983741611261197,"gene-SAOUHSC_00020","SAOUHSC_00020",FALSE
11075.3608283351,-0.62348257942608,0.607101338894264,-1.02698271191701,0.304428604735518,0.983741611261197,"gene-SAOUHSC_00021","SAOUHSC_00021",FALSE
8296.40555613445,0.149836972081245,0.356043675976658,0.420838740275978,0.673872840647869,0.983741611261197,"gene-SAOUHSC_00022","SAOUHSC_00022",FALSE
6409.40727564793,-0.110436596147131,0.431290115732383,-0.25606104132388,0.797903703819201,0.983741611261197,"gene-SAOUHSC_00023","SAOUHSC_00023",FALSE
1385.1488625947,0.191200750997915,0.574752207653485,0.332666405542872,0.739386111007189,0.983741611261197,"gene-SAOUHSC_00024","SAOUHSC_00024",FALSE
1729.27160203236,-0.25037894515519,0.605718159487885,-0.413358822470961,0.679343738960456,0.983741611261197,"gene-SAOUHSC_00025","SAOUHSC_00025",FALSE
43.0683841333065,-0.0113401103673968,1.05641216440252,-0.0107345511056383,0.991435231893188,0.998061980565329,"gene-SAOUHSC_00026","SAOUHSC_00026",FALSE
325.35569094595,-0.550656606121031,0.481762955851417,-1.14300321233263,0.25303725732866,0.983741611261197,"gene-SAOUHSC_00027","SAOUHSC_00027",FALSE
17.8867012077877,-0.423782433713473,0.675303599774368,-0.627543572779809,0.530302983530675,0.983741611261197,"gene-SAOUHSC_00028","SAOUHSC_00028",FALSE
6.66097342655846,-0.455045171034189,1.0973690059894,-0.414669239381257,0.678384053680949,0.983741611261197,"gene-SAOUHSC_00029","SAOUHSC_00029",FALSE
1424.11307077294,-0.306640815873353,0.480467769866519,-0.638213081303127,0.523334982982488,0.983741611261197,"gene-SAOUHSC_00030","SAOUHSC_00030",FALSE
11427.6108501088,0.284241719699794,1.24158566665344,0.228934440316098,0.818919871823364,0.983741611261197,"gene-SAOUHSC_00031","SAOUHSC_00031",FALSE
49.5667460351628,-1.4291574747018,0.749135358733563,-1.90774265029732,0.0564244863414374,0.983741611261197,"gene-SAOUHSC_00032","SAOUHSC_00032",FALSE
6038.70881436935,0.22992090261363,1.23782349016079,0.185746113594729,0.852643864112125,0.984599145781784,"gene-SAOUHSC_00033","SAOUHSC_00033",FALSE
1448.16124651472,0.646995256987013,1.26230888930864,0.512549077699492,NA,NA,"gene-SAOUHSC_00034","SAOUHSC_00034",FALSE
